[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x102b0100 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102ac140 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a41d8 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x102a0178 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1029c158 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10298138 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10294118 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102881f8 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x102881c8 (size  39, <Unknown>:0   )
Memory Stay ------> 0x1026c140 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x1026c118 (size  34, <Unknown>:0   )
Memory Stay ------> 0x10274198 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10274178 (size  23, <Unknown>:0   )
Memory Stay ------> 0x10260120 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x101141e0 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1010c1e8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1003c1b8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x101041b8 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x10104190 (size  34, <Unknown>:0   )
Memory Stay ------> 0x100f01b8 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x100f0198 (size  25, <Unknown>:0   )
Memory Stay ------> 0x1003c1e8 (size  19, <Unknown>:0   )
Memory Stay ------> 0x1003c1d0 (size  15, <Unknown>:0   )
Memory Stay ------> 0x10038118 (size  48, <Unknown>:0   )
Memory Stay ------> 0x10034150 (size  48, <Unknown>:0   )
Memory Stay ------> 0x100301a8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x1002c1b8 (size  17, <Unknown>:0   )
Memory Stay ------> 0x10018108 (size  56, <Unknown>:0   )
Memory Stay ------> 0x10014180 (size  31, <Unknown>:0   )
Memory Stay ------> 0x10340218 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1032c2b0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x103342e8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10330228 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d02d0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10328230 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d4268 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d4258 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d4248 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1003c2d0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1003c2c0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d8220 (size  63, <Unknown>:0   )
Memory Stay ------> 0x103202e8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x103202d8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x103202c0 (size  14, <Unknown>:0   )
Memory Stay ------> 0x10314298 (size  12, <Unknown>:0   )
Memory Stay ------> 0x1030c2b8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10308258 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103042f8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103002a0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10300290 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10300280 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f8238 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f8228 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f8218 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f8200 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f8248 (size  12, <Unknown>:0   )
